question_id,question,mode
Q001,"鸿茅药酒到底是药还是酒？",quick
Q001,"鸿茅药酒到底是药还是酒？",research
Q002,"鸿茅药酒是正规药品吗？需要医生处方吗？",quick
Q002,"鸿茅药酒是正规药品吗？需要医生处方吗？",research
Q003,"鸿茅药酒的主要成分有哪些？为什么说有很多味中药？",quick
Q003,"鸿茅药酒的主要成分有哪些？为什么说有很多味中药？",research
Q004,"鸿茅药酒是中华老字号吗？这个资质可靠吗？",quick
Q004,"鸿茅药酒是中华老字号吗？这个资质可靠吗？",research
Q005,"鸿茅药酒是不是非遗产品？非遗和药效有什么关系？",quick
Q005,"鸿茅药酒是不是非遗产品？非遗和药效有什么关系？",research
Q006,"鸿茅药酒和普通药酒、保健酒有什么区别？",quick
Q006,"鸿茅药酒和普通药酒、保健酒有什么区别？",research
Q007,"鸿茅药酒是哪家公司生产的？产地在哪里？",quick
Q007,"鸿茅药酒是哪家公司生产的？产地在哪里？",research
Q008,"鸿茅药酒是不是虚假宣传过？广告争议是怎么回事？",quick
Q008,"鸿茅药酒是不是虚假宣传过？广告争议是怎么回事？",research
